date,fund,price
2026-03-16,Zwitser­leven PPI Geldmarkt­fonds,50.47
2026-03-16,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,48.89
2026-03-16,Zwitser­leven Vanguard US 500 Stock Index Fund,24.44
2026-03-17,ASN Duurzaam Aandelenfonds,192.96
2026-03-17,ASN Duurzaam Obligatiefonds,25.38
2026-03-17,ASN Milieu & Waterfonds,50.77
2026-03-17,Etappe Euro Aandelen­fonds,59.69
2026-03-17,Etappe Euro Obligatie­fonds,25.63
2026-03-17,Etappe Staatsobligaties 10+ Fonds,21.39
2026-03-17,Euro Aandelen­fonds,58.6
2026-03-17,Euro Mixfonds,38.45
2026-03-17,Euro Obligatiefonds,24.43
2026-03-17,Optimaal Euro Obligatiefonds,24.63
2026-03-17,Optimaal Staatsobligaties 10+ Fonds,21.56
2026-03-17,Optimaal Vastgoedfonds,34.82
2026-03-17,Optimaal Wereld Aandelenfonds,71.57
2026-03-17,Optimaalfonds Oranje,37.27
2026-03-17,PP Euro Aandelenfonds,62.76
2026-03-17,PP Euro Mixfonds,41.44
2026-03-17,PP Euro Obligatiefonds,25.51
2026-03-17,PP Optimaal Euro Mixfonds,40.58
2026-03-17,PP Wereld Aandelenfonds,75.43
2026-03-17,Wereld Beheer Mixfonds,38.41
2026-03-17,Zwitserleven Amerika Aandelenfonds,97.93
2026-03-17,Zwitserleven Credits Fonds,11.39
2026-03-17,Zwitserleven Credits Hypotheken Mixfonds,11.34
2026-03-17,Zwitserleven Duurzaam Wereld Aandelenfonds,36.71
2026-03-17,Zwitserleven Europees Aandelenfonds,36.86
2026-03-17,Zwitserleven Government Bonds 10+ Fonds,8.11
2026-03-17,Zwitserleven Index Aandelenfonds Europa,42.44
2026-03-17,Zwitserleven Index Aandelenfonds Noord-Amerika,48.97
2026-03-17,Zwitserleven Index Aandelenfonds Opkomende Landen,33.65
2026-03-17,Zwitserleven Index Aandelenfonds Pacific,37.91
2026-03-17,Zwitserleven Index Wereld Aandelenfonds,87.9
2026-03-17,Zwitserleven Kortlopend Obligatiefonds,6.06
2026-03-17,Zwitserleven Lifestyle Garantie,168.88
2026-03-17,Zwitserleven Long Duration Fonds,26.42
2026-03-17,Zwitserleven MaatschappijGarantie (2%),41.66
2026-03-17,Zwitserleven MaatschappijGarantie (3%),46.44
2026-03-17,Zwitserleven MaatschappijGarantie plus,53.54
2026-03-17,Zwitserleven Medium Duration Fonds,27.97
2026-03-17,Zwitserleven Mixfonds,57.79
2026-03-17,Zwitserleven Obligatiefonds,17.39
2026-03-17,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.96
2026-03-17,Zwitserleven PPI Vanguard Small Cap Fund,53.36
2026-03-17,Zwitserleven PPI iShares Government Bond index Fund,49.61
2026-03-17,Zwitserleven PW Collectief Garantiefonds,19.84
2026-03-17,Zwitserleven PW Doorlopend Garantiefonds,13.29
2026-03-17,Zwitserleven PW Europees Beheer Fonds 3%,182.73
